"name_clean","leaid1","years1","state1","leaid_name1","name_raw1","leaid2","years2","state2","leaid_name2","name_raw2"
"charles stegall","1706120","2013-2014","il","Bethalto Cusd 8","Charles T Stegall","1737120","2017-2023","il","St Anne Ccsd 256","Mr. Charles Stegall"
"carol kunst","1736810","2009-2011","il","Burbank Sd 111","Dr. Carol A Kunst","1730220","2012","il","Orland Sd 135","Dr. Carol Kunst"
"mary hagan","1740680","2003","il","North Wamac School District 186","DR MARY HAGAN ","1740200","2004","il","Venice Comm Unit School Dist 3","DR MARY HAGAN "
"david bonnette","1733990","2003-2004","il","Riverside School Dist 96","DR DAVID J BONNETTE ","1733810","2007","il","River Forest Sd 90","Dr David J Bonnette"
"suellen girard","1718510","2003-2006","il","Havana Comm Unit School Dist 126","DR SUELLEN GIRARD ","1726710","2008-2013","il","Morrison Cusd 6","Dr Suellen Girard"
"terry milt","1727360","2004-2008","il","Mt Vernon Twp H S Dist 201","TERRY MILT ","1712720","2009-2011","il","Dupo Cusd 196","Terry Milt"
"dawn puckett","1803990","2012, 2014-2015","in","Greencastle Community Sch Corp","Mrs Dawn Puckett","1810620","2020","in","Southeast Fountain School Corp","Dawn Puckett"
"jeremy lugbill","1800164","2022-2024","in","Career Academy Middle School","Jeremy Lugbill","1813240","2023-2024","in","The Portage School Of Leaders","Jeremy Lugbill"
"kelli marshall","1800045","2015-2017","in","Charles A Tindley Accelerated Schl","Kelli Marshall","1800141","2015-2017","in","Tindley Renaissance Academy","Kelli Marshall"
"nicole fama","1800225","2020-2024","in","Phalen Leadership Academy At Louis","Nicole Fama","1800227","2023-2024","in","Promise Prep","Nicole Fama"
"sarah weimer","1800122","2020-2022","in","Christel House Dors","Sarah Weimer","1800149","2020-2022","in","Christel House Academy West","Sarah Weimer"
"lydia jagger","1800101","2016-2017","in","Career Academy High School","Lydia Jagger","1800164","2016-2017","in","Career Academy Middle School","Lydia Jagger"
"scot croner","1800570","2014-2016","in","Blackford County Schools","Scot Croner","1812240","2016-2024","in","Wa-Nee Community Schools","Scot Croner"
"wesley hammond","1810380","2012, 2014-2021","in","South Henry School Corp","Mr Wesley Hammond","1803330","2021-2024","in","Eminence Community School Corp","Wesley Hammond"
"trevor jones","1810800","2015-2019","in","Southwestern-Jefferson Co Con","Trevor Jones","1809990","2018-2024","in","Scott County School District 1","Trevor Jones"
"steve woolf","2000349","2010-2012","ks","Central Plains","Woolf, Steve","2006000","2014-2017","ks","Erie-Galesburg","Woolf, Steve"
"cheryl cook","2009000","2016","ks","Lyndon","Cook, Cheryl","2007080","2018","ks","Healy Public Schools","Cook, Cheryl"
"brian spencer","2000014","2015-2018","ks","Central Heights","Spencer, Brian","2011280","2021-2022","ks","Pawnee Heights","Brian Spencer"
"larry lyder","2011040","2016","ks","Golden Plains","Lyder, Larry","2000030","2021","ks","Republic County","Larry Lyder"
